pid,display_pid,alias,image,floral_language,origin,production,category,blooming,color,size,soil,sunlight,watering,fertilization,pruning,max_light_mmol,min_light_mmol,max_light_lux,min_light_lux,max_temp,min_temp,max_env_humid,min_env_humid,max_soil_moist,min_soil_moist,max_soil_ec,min_soil_ec
crassula dejecta,Crassula dejecta,doily crassula,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgZGVqZWN0YS5qcGc=?imageView2/1/w/%d/h/%d,,Mexico,China,"Crassulaceae, Crassula","Succulent plants, blooms sometimes, with white small flowers","Leaf color green, with adequate sunlight, leaves edges turning to dark red","Diameter â¥ 10 cm, height 10-15 cm",Peat and akadama mixed in 3:1 ratio,"Needs plenty of sunshine, avoid direct sunlight in summer","Resistant to drought, water thoroughly when soil is dry","Dilute fertilizers following instructions, apply once monthly",Remove dead and rotten part timely,11000,3800,100000,3800,35,8,80,15,55,10,1500,50
crassula fusca,Crassula fusca,crassula fusca,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgZnVzY2EuanBn?imageView2/1/w/%d/h/%d,"Crassula fusca
Floriography: enthusiastic, vigorous, vigorous
Is a succulent, with clustered green leaves and side branches, leaves are long and rigid, with tips, in a cool season with abundant sunlight, leaves turn purple red, like flames. 
Likes abundant sunlight, tolerates to half shade, has a short dormant period under summer high temperature, shade properly in a cool environment. Flowers are white.",South Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers, white flowers","Leaf color green, when sunny turning to fuchsia","Diameter â¥ 3 cm, height â¥ 5 cm",Peat and akadama mixed in 3:1 ratio,"Likes light, resistant to half shade, dormant in summer under high temperatures, put in places with scattered light","Resistant to drought, water thoroughly when soil is dry, reduce water in summer high temperature","Dilute fertilizers following instructions,  apply once every 1-2 months in spring and autumn",Remove dead and rotten part timely,7000,3700,80000,3500,35,5,80,15,50,7,1000,300
crassula hemisphaerica,Crassula hemisphaerica,crassula hemisphaerica,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgaGVtaXNwaGFlcmljYS5qcGc=?imageView2/1/w/%d/h/%d,,South Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers with a short period time",Leaf greenï¼and will turn red with adequate sunlight,Diameter6-10cmï¼Height5-15cm,Peat and akadama mixed in 3:1 ratio,"Enjoy sunlight, resistant to half shadeï¼temporary dormancy in summer, planted in half shade",Water thoroughly when soil surface is dry,"Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",9500,3200,85000,2800,35,5,80,15,55,10,1500,50
crassula lactea,Crassula lactea,crassula lactea,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgbGFjdGVhLmpwZw==?imageView2/1/w/%d/h/%d,,South Africa,China,"Crassulaceae, Crassula","Succulent plants, flowers sometimes in spring and autumn with white flowers",Leaf color green,"Diameter â¥ 5 cm, height 5-18 cm",Peat and akadama mixed in 3:1 ratio,"Like adequate light, in summer with high temperature shade properly under strong light","Water thoroughly when soil is dry, moderately resistant to drought","Dilute fertilizers following instructions,  apply once monthly",Remove flower stem timely to avoid waste of nutrition,6000,4000,60000,3700,35,5,80,15,50,7,1000,300
crassula lycopodioides,Crassula lycopodioides,crassula lycopodioides,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgbHljb3BvZGlvaWRlcy5qcGc=?imageView2/1/w/%d/h/%d,"Crassula lycopodioides
Floriography: vigorous, positive, tenacious
Crassula lycopodioides is more roundish and smoother than Crassula pyramidalis Thunb, with smaller pale green leaves of pine nut shape, loosely overlapping, leaf color slightly reddish under a great diurnal temperature range and full sunlight. For its exquisite looking, often used for decoration in small pot succulent combos.
Crassula lycopodioides loves abundant sunlight, tolerates half sunlight, dormant in summer and avoid direct sunlight exposure for better care.",Africa,China,"Crassulaceae, Crassula","Succulent plants, rarely flowers","Leaf color pale green, with adequate sunlight, leaves slightly light red","Diameter 3-8 cm, height â¥ 5 cm",Peat and akadama mixed in 3:1 ratio,"Like sunshine, dormant in summer under high temperatures, put in places with bright scattered light","Resistant to drought, water thoroughly when soil is dry, stop watering under summer high temperature","Dilute fertilizers following instructions, apply once monthly in spring and autumn",Remove dead and rotten part timely,6000,4000,60000,2900,35,5,80,15,50,7,1000,300
crassula marnieriana,Crassula marnieriana,crassula marnieriana,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgbWFybmllcmlhbmEuanBn?imageView2/1/w/%d/h/%d,"Crassula marnieriana
Floriography: wealthy, lucky, warm.
Crassula marnieriana is a relatively fast growing ""stacked"" Crassula. Short broad ovate opposing leaves are light green, thick, congested at the leaf tips. Leaf edges turn into red to dark red if well sunbathed. This form has leaf margins that often have reddish tinges and is quite showy.
Crassula marnieriana is a full sun plant and partial shade tolerant. It will go through dormancy in summer and should be remove from direct sunlight to a place with scattered light. It blooms with inconspicuous pale yellow flowers in spring.",South Africa,China,"Crassulaceae, Crassula","Succulent plants, often flowers in spring, white flowers","Leaf color gray green, when sunny leaf edges turning to red","Diameter 3-10 cm, height â¥ 10 cm",Peat and akadama mixed in 3:1 ratio,"Like sunshine, resistant to half shade, short period of dormancy in summer, use half shade for better care","Do not water frequently, keep a dry environment, water every 7-10 days, reduce water in dormancy","Dilute fertilizers following instructions, apply once monthly in spring, autumn, and winter",Remove dead and rotten part timely,9000,3800,75000,2800,35,6,80,15,50,7,1000,300
crassula mesembrianthoides subsp. hispida,Crassula mesembrianthoides subsp. Hispida,crassula mesembrianthoides ssp. hispida,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgbWVzZW1icmlhbnRob2lkZXMgc3Vic3AuIGhpc3BpZGEuanBn?imageView2/1/w/%d/h/%d,"Crassula mesembrianthoides subsp. Hispida
Floriography: gentle, lovely, beautiful
Has a unique shape, leaves are like raindrops with needle-like tips, sink in the middle and covered by dense white hairs, fluffy and lovely, in a cool season with abundant sunlight, leaves turn red, often used in combinations with other small succulents in pots.
Likes sunshine, has a summer dormant period, need shade properly under scattered light and reduce watering. Flowers are orange.",Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers, orange red flowers","Leaf color green, with a great diurnal temperature range, with adequate sunlight turning to red","Diameter â¥ 5 cm, height â¥ 5 cm",Peat and akadama mixed in 3:1 ratio,"Likes light, dormant in summer under high temperatures, put in places with bright scattered light","Resistant to drought, water thoroughly when soil is dry, reduce water in summer","Dilute fertilizers following instructions,  apply once every 1-2 months in spring and autumn",Remove dead and rotten part timely,7000,5000,80000,3500,35,5,80,15,50,7,1000,300
crassula mesembryanthoides ssp. hispida,Crassula mesembryanthoides ssp. hispida,crassula mesembryanthoides ssp. hispida,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgbWVzZW1icnlhbnRob2lkZXMgc3NwLiBoaXNwaWRhLmpwZw==?imageView2/1/w/%d/h/%d,"Crassula mesembryanthoides ssp. hispida
Floriography: gentle, lovely, beautiful
Has a similar appearance to Crassula mesembrianthoides ssp. hispida with longer leaves like fox tails and needle-like leaf tips. Leaves sink in the middle, covered by dense white hairs, fluffy and lovely, in a cool season with abundant sunlight, leaves turn red, often used in combinations with other small succulents in pots.
Likes sunshine, has a summer dormant period, need shade properly under scattered light and reduce watering. Flowers are orange.",Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers, orange red flowers","Leaf color green, with a great diurnal temperature range, with adequate sunlight turning to red","Diameter â¥ 5 cm, height â¥ 5 cm",Peat and akadama mixed in 3:1 ratio,"Likes light, dormant in summer under high temperatures, put in places with bright scattered light","Resistant to drought, water thoroughly when soil is dry, reduce water in summer","Dilute fertilizers following instructions,  apply once every 1-2 months in spring and autumn",Remove dead and rotten part timely,7000,5000,80000,3500,35,5,80,15,50,7,1000,300
crassula nudicaulis var. herrei,Crassula nudicaulis var. herrei,crassula nudicaulis var. herrei,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgbnVkaWNhdWxpcyB2YXIuIGhlcnJlaS5qcGc=?imageView2/1/w/%d/h/%d,"Crassula nudicaulis var herrei 
Floriography: self-reliant, pure, faithful
Green leaves of crescent shape, meaty. Leaf edge turns into dark brown or dark red color in abundant sun light. Grows fast with lateral branches, lovely look. 
Toelken likes sun, leaves turn green in lack of sun light. Occasionally produces white flowers.",Mexico,China,"Crassulaceae, Crassula","Succulent plants, blooms sometimes, with white small flowers","Leaf color green, with adequate sunlight, leaves edges turning to red brown","Diameter â¥ 10 cm, height 10-15 cm",Peat and akadama mixed in 3:1 ratio,"Summer is its dormant period, use half shade for better care, spring and autumn are its growing seasons, need plenty of sunshine","Water 2 times during summer dormancy, 20ml water every time, keep soil moist in other time, water thoroughly when soil is dry","Dilute fertilizers following instructions, apply once monthly",Remove dead and rotten part timely,6000,4000,60000,3600,35,8,80,15,50,7,1000,300
crassula obliqua 'gollum',Crassula Obliqua 'Gollum',crassula obliqua gollum,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgb2JsaXF1YSAnZ29sbHVtJy5qcGc=?imageView2/1/w/%d/h/%d,"Crassula Obliqua 'Gollum'
Floriography: handsome, innovative, unique
Crassula Obliqua 'Gollum' may have multiple woody stems with emerald green leaves in tubular shapes and wide top, having a elliptical cross section like a horseshoe. With a great diurnal temperature range and abundant sunlight, leaves turn golden yellow then red along cross-sectional edges. 
Crassula Obliqua 'Gollum' likes full sunlight with half shade tolerance, summer is its dormant period, need to avoid direct sunlight. Blooms sometime with white to pale pink flowers.",South Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers, white or pale pink flowers","Leaf color green, when sunny turning to red along the edge on top","Diameter 3-10 cm, height â¥ 10 cm",Peat and akadama mixed in 3:1 ratio,"Like sunshine, resistant to half shade, short period of dormancy in summer, use half shade for better care","Do not water frequently, keep a dry environment, water every 7-10 days, reduce water in summer","Dilute fertilizers following instructions, apply once monthly in spring, autumn, and winter",Remove dead and rotten part timely,7000,5000,80000,4000,35,5,80,15,50,7,1000,300
crassula ovata,Crassula ovata,crassula ovata,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgb3ZhdGEuanBn?imageView2/1/w/%d/h/%d,"Crassula ovata 
Floriography: beautiful, spotty, sunny
Is a pretty plant with thick long oval leaves like a pad, leaf color green and marked by yellow patches, in a cool season with abundant sunlight, leaf edges turn pink, forming a mixture of green, yellow, and pink, very colorful and spotty, has a high ornamental value.
Likes sunshine, tolerates to half shade, has a short dormant period under summer high temperature, place under bright scattered light. Flowers sometimes, pink color.",South Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers, white flowers","Leaf color green, with yellow marks, leaf edges red","Diameter â¥ 5 cm, height â¥ 5 cm",Peat and akadama mixed in 3:1 ratio,"Likes light, resistant to half shade, dormant in summer under high temperatures, put in places with scattered light","Resistant to drought, water thoroughly when soil is dry, reduce water in summer","Dilute fertilizers following instructions,  apply once every 1-2 months in spring and autumn",Remove dead and rotten part timely,11200,3200,130000,3000,35,8,80,15,50,7,1000,50
crassula perforata var. variegata,Crassula perforata var. variegata,crassula perforata var. variegata,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgcGVyZm9yYXRhIHZhci4gdmFyaWVnYXRhLmpwZw==?imageView2/1/w/%d/h/%d,,South Africa,China,"Crassulaceae, Crassula","Succulent plants, often open white flowers in spring",Leaf color green,Diameter3-10cmï¼Heightâ¥10cm,Peat and akadama mixed in 3:1 ratio,"Enjoy sunlight, resistant to half shadeï¼temporary dormancy in summer, planted in half shade","Resistant to drought, water thoroughly when soil surface is dry","Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",8800,3600,82000,3000,35,6,80,15,50,7,1000,150
crassula pubescens subsp. radicans,Crassula pubescens subsp. Radicans,crassula pubescens ssp radicans,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgcHViZXNjZW5zIHN1YnNwLiByYWRpY2Fucy5qcGc=?imageView2/1/w/%d/h/%d,,Mexico,China,"Crassulaceae, Crassula","Succulent plants, blooms sometimes, with white small flowers","Leaf color green, with adequate sunlight, leaves turning to orange red","Diameter â¥ 5 cm, height 5-15 cm",Peat and akadama mixed in 3:1 ratio,"Needs plenty of sunshine, avoid direct sunlight in summer","Resistant to drought, water thoroughly when soil is dry, reduce watering in summer and winter","Dilute fertilizers following instructions, apply once monthly",Remove dead and rotten part timely,10500,3500,100000,3800,35,8,80,15,55,10,1500,50
crassula pyramidalis thunb,Crassula pyramidalis Thunb,crassula pyramidalis thunb,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgcHlyYW1pZGFsaXMgdGh1bmIuanBn?imageView2/1/w/%d/h/%d,"Crassula pyramidalis Thunb
Floriography: natural, positive, tenacious
Crassula pyramidalis Thunb is a tall pyramid-like succulent, relatively symmetric, with needle or line shape green leaves tightly arranged, may become reddish color under a great diurnal temperature range and abundant sunlight. For its plant shape, often used for decoration in small pot succulent combos.",Asia,China,"Crassulaceae, Crassula","Succulent plants, rarely flowers","Leaf color green, with adequate sunlight, leaves turning to red","Diameter 3-8 cm, height â¥ 5 cm",Peat and akadama mixed in 3:1 ratio,"Like sunshine, dormant in summer under high temperatures, put in places with bright scattered light","Resistant to drought, water thoroughly when soil is dry, stop watering under summer high temperature","Dilute fertilizers following instructions, apply once monthly in spring and autumn",Remove dead and rotten part timely,6000,4000,60000,2900,35,5,80,15,50,7,1000,300
crassula rogersii,Crassula rogersii,crassula rogersii,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgcm9nZXJzaWkuanBn?imageView2/1/w/%d/h/%d,"Crassula rogersii 
Floriography: lovely, brave, gentle
Has leaves in half olive shape covered with dense hairs, in a cool season with adequate light, leaves turn red, and more plump. May be grown individually in a pot. When in a water stress, branches become woodier with a more charming look. 
Likes sunny places, take a short sleep in summer, need reduce watering and shade properly under B116scattered light and water control. Flowers sometimes with light green flowers.",South Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers, light green flowers","Leaf color green, with strong light leaf turn to red","Diameter 6-10 cm, height 5-15 cm",Peat and akadama mixed in 3:1 ratio,"Like sunshine, a short period of dormancy in summer, use half shade for better care","Do not water frequently, keep a dry environment, water every 7-10 days","Dilute fertilizers following instructions, apply once every month",Remove dead and rotten part timely,7000,5000,80000,3500,35,5,80,15,50,7,1000,300
crassula rupestris 'tom thumb',Crassula rupestris 'Tom thumb',crassula rupestris,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgcnVwZXN0cmlzICd0b20gdGh1bWInLmpwZw==?imageView2/1/w/%d/h/%d,"Crassula rupestris 'Tom thumb'
Floriography: meticulous, lucky, warm.
Crassula 'Tom Thumb' is a miniature succulent plant with tiny triangular leaves in opposing ranks stacked on upright stems.  The mint green to light green leaves have colorful reddish edges with red dots especially in bright light. The unique shape gains popularity as ornamental potted plant indoor or outdoor.
The plant is a full sun plant. Summer dormant, protect from direct sunlight. It is topped by clusters of tiny white flowers in spring.",South Africa,China,"Crassulaceae, Crassula","Succulent plants, often flowers in spring, white flowers","Leaf color gray green to pale green, when sunny leaf edges turning to red","Diameter 3-10 cm, height â¥ 10 cm",Peat and akadama mixed in 3:1 ratio,"Like sunshine, resistant to half shade, short period of dormancy in summer, use half shade for better care","Do not water frequently, keep a dry environment, water every 7-10 days, reduce water in dormancy","Dilute fertilizers following instructions, apply once monthly in spring, autumn, and winter",Remove dead and rotten part timely,7200,3200,70000,2500,35,6,80,15,50,7,1000,300
crassula sp. transvaal drakensberg,Crassula sp. transvaal drakensberg,crassula sp. transvaal drakensberg,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgc3AuIHRyYW5zdmFhbCBkcmFrZW5zYmVyZy5qcGc=?imageView2/1/w/%d/h/%d,,South Africa,China,"Crassulaceae, Crassula","Succulent plants, often open white flowers in spring","Leaf color grey green, and will turn red with much sunlight",Diameter 3-10cmï¼Heightâ¥10cm,Peat and akadama mixed in 3:1 ratio,"Enjoy sunlight, resistant to half shadeï¼planted in half shade in summer dormancy",Water thoroughly when soil surface is dry,"Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",7700,3200,70000,2500,35,6,80,15,50,8,1000,200
crassula vo lkensii,Crassula Vo lkensii,crassula vo lkensii,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEgdm8gbGtlbnNpaS5qcGc=?imageView2/1/w/%d/h/%d,,South Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers with a short period time",Leaf color greenï¼and will turn red with sufficient light,Diameter6-10cmï¼Height5-15cm,"Loose, fertile, and well-drained loam soil","Enjoy sunlight, resistant to half shadeï¼temporary dormancy in summer, planted in half shade",Water thoroughly when soil surface is dryï¼reduce water in summer,"Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",9500,3200,90000,3000,35,5,80,15,60,10,1500,50
crassula'pagoda rupestris',Crassula'Pagoda Rupestris',crassulapagoda rupestris,http://pkb.resource.huahuacaocao.com/Y3Jhc3N1bGEncGFnb2RhIHJ1cGVzdHJpcycuanBn?imageView2/1/w/%d/h/%d,,South Africa,China,"Crassulaceae, Crassula","Succulent plants, sometimes flowers with a short period timeï¼flower color pink",Leaf color greenï¼and will turn pink red with adequate sunlight,Diameterâ¥3cmï¼Heightâ¥3cm,Peat and akadama mixed in 3:1 ratio,"Enjoy sunlight, resistant to half shadeï¼no apparent dormancy","Water every 7-10 days, reduce water in summer high temperature","Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",8000,3900,85000,3500,35,5,80,15,50,8,1000,50
crasula cv. spring time,Crasula cv. Spring Time,crasula cv. spring time,http://pkb.resource.huahuacaocao.com/Y3Jhc3VsYSBjdi4gc3ByaW5nIHRpbWUuanBn?imageView2/1/w/%d/h/%d,,South Africa,China,"Crassulaceae, Crassula","Succulent plant, open orange red flower in late summer",Leaf color greenï¼and will turn pink red with sufficient sunlight,Diameterâ¥3cmï¼Heightâ¥3cm,Peat and akadama mixed in 3:1 ratio,"Enjoy sunlight, resistant to half shadeï¼dormancy in winter","Resistant to drought, water thoroughly when soil surface is dry, reduce water in summer","Dilute fertilizers following instructions, apply once monthly in spring and autumn","Remove flower stem, diseased and rotten leaves timely",7500,3900,80000,3500,35,5,80,15,50,8,1000,50
crataegus aestivalis,Crataegus aestivalis,crataegus aestivalis,http://pkb.resource.huahuacaocao.com/Y3JhdGFlZ3VzIGFlc3RpdmFsaXMuanBn?imageView2/1/w/%d/h/%d,,China,China,"Rosaceae, Crataegus","Flowering period May-June, fruiting period September-October","Flower color white, fruit color dark red","Diameter 40-60 cm, height â¥ 60 cm",Slightly acidic soil with loose texture or soil with specific nutrients,"Likes light, more resistant to shade, place in sunny places, in summer place in the shade with great sunlight intensity","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,40,10,80,30,60,15,2000,350
crataegus coccinea,Crataegus coccinea,crataegus coccinea,http://pkb.resource.huahuacaocao.com/Y3JhdGFlZ3VzIGNvY2NpbmVhLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Rosaceae, Crataegus","Flowering period May-June, fruiting period September-October","Flower color white, fruit color dark red","Diameter 40-60 cm, height â¥ 60 cm",Slightly acidic soil with loose texture or soil with specific nutrients,"Likes light, more resistant to shade, place in sunny places, in summer place in the shade with great sunlight intensity","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,40,10,80,30,60,15,2000,350
crataegus crus galli,Crataegus crus galli,crataegus crus galli,http://pkb.resource.huahuacaocao.com/Y3JhdGFlZ3VzIGNydXMgZ2FsbGkuanBn?imageView2/1/w/%d/h/%d,,China,China,"Rosaceae, Crataegus","Flowering period May-June, fruiting period September-October","Flower color white, fruit color dark red","Diameter 40-60 cm, height â¥ 60 cm",Soil with loose texture or soil with specific nutrients,"Likes light, more resistant to shade, place in sunny places, in summer place in the shade with great sunlight intensity","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,40,10,80,30,60,15,2000,350
crataegus laevigata,Crataegus laevigata,crataegus laevigata,http://pkb.resource.huahuacaocao.com/Y3JhdGFlZ3VzIGxhZXZpZ2F0YS5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Rosaceae, Crataegus","Flowering period May-June, fruiting period September-October","Flower color white, fruit color dark red","Diameter 40-60 cm, height â¥ 60 cm",Slightly acidic soil with loose texture or soil with specific nutrients,"Likes light, more resistant to shade, place in sunny places, in summer place in the shade with great sunlight intensity","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,40,10,80,30,60,15,2000,350
crataegus monogyna,Crataegus monogyna,crataegus monogyna,http://pkb.resource.huahuacaocao.com/Y3JhdGFlZ3VzIG1vbm9neW5hLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Rosaceae, Crataegus","Flowering period May-June, fruiting period September-October","Flower color white, fruit color dark red","Diameter 40-60 cm, height â¥ 60 cm",Slightly acidic soil with loose texture or soil with specific nutrients,"Likes light, more resistant to shade, place in sunny places, in summer place in the shade with great sunlight intensity","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,40,10,80,30,60,15,2000,350
crataegus phaenopyrum,Crataegus phaenopyrum,crataegus phaenopyrum,http://pkb.resource.huahuacaocao.com/Y3JhdGFlZ3VzIHBoYWVub3B5cnVtLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Rosaceae, Crataegus","Flowering period May-June, fruiting period September-October","Flower color white, fruit color dark red","Diameter 40-60 cm, height â¥ 60 cm",Slightly acidic soil with loose texture or soil with specific nutrients,"Likes light, more resistant to shade, place in sunny places, in summer place in the shade with great sunlight intensity","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,40,10,80,30,60,15,2000,350
crataegus viridis,Crataegus viridis,crataegus viridis,http://pkb.resource.huahuacaocao.com/Y3JhdGFlZ3VzIHZpcmlkaXMuanBn?imageView2/1/w/%d/h/%d,,China,China,"Rosaceae, Crataegus","Flowering period May-June, fruiting period September-October","Flower color white, fruit color dark red","Diameter 40-60 cm, height â¥ 60 cm",Soil with loose texture or soil with specific nutrients,"Likes light, more resistant to shade, place in sunny places, in summer place in the shade with great sunlight intensity","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,40,10,80,30,60,15,2000,350
crataegus viridis 'winter king',Crataegus viridis 'Winter King',crataegus viridis,http://pkb.resource.huahuacaocao.com/Y3JhdGFlZ3VzIHZpcmlkaXMgJ3dpbnRlciBraW5nJy5qcGc=?imageView2/1/w/%d/h/%d,,China,China,"Rosaceae, Crataegus","Flowering period May-June, fruiting period September-October","Flower color white, fruit color dark red","Diameter 40-60 cm, height â¥ 60 cm",Slightly acidic soil with loose texture or soil with specific nutrients,"Likes light, more resistant to shade, place in sunny places, in summer place in the shade with great sunlight intensity","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead and pest branches timely",5000,3500,50000,4000,40,10,80,30,60,15,2000,350
cremnosedum,Cremnosedum,cremnosedum,http://pkb.resource.huahuacaocao.com/Y3JlbW5vc2VkdW0uanBn?imageView2/1/w/%d/h/%d,,Mexico,China,"Crassulaceae, Echeveria","Succulent plants, sometimes flowers, yellow flowers","Leaf color green, when sunny leaf color turning to red","Diameter â¥ 3 cm, height â¥ 10 cm",Peat and akadama mixed in 3:1 ratio,"Likes adequate light, no apparent period of dormancy, shade properly under summer strong light","Resistant to drought, water thoroughly when soil is dry","Dilute fertilizers following instructions, apply once every month",Remove dead and rotten part timely,9000,3500,90000,3500,35,5,80,15,60,15,1000,50
crinum asiaticum,Crinum asiaticum,crinum asiaticum,http://pkb.resource.huahuacaocao.com/Y3JpbnVtIGFzaWF0aWN1bS5qcGc=?imageView2/1/w/%d/h/%d,"Crinum asiaticum
Floriography: generous, classical, loyal
Crinum asiaticum is a bulb-forming perennial plant. Bright green leaves with wavy edge, large showy flowers with delicate petals and elegant color.
Crinum asiaticum likes sunlight, but should avoid summer strong light. Flowers from May to August for 2-3 weeks. Save the bulbs after the flowers fade for the next year to geminate in spring.",Indonesia,China,"Amaryllidaceae, Crinum","Flowering period May-August, viewing period 2-3 weeks","Flower color white, pink","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes light, shade properly under summer strong light, put in places with scattered light","Water thoroughly when soil is dry, reduce watering in winter","Dilute fertilizers following instructions,  apply 1-2 times monthly in spring","Remove old, diseased and dead leaves timely, remove peduncle after flowering",5000,3500,50000,2500,32,8,80,30,60,15,2000,350
crocosmia crocosmiiflora,Crocosmia crocosmiiflora,crocosmia crocosmiiflora,http://pkb.resource.huahuacaocao.com/Y3JvY29zbWlhIGNyb2Nvc21paWZsb3JhLmpwZw==?imageView2/1/w/%d/h/%d,,China,China,"Iridaceae, Crocosmia",Flowering and fruiting periodJuly-October,Flower color orange yellow,"Diameter â¥ 20 cm, height 20-30 cm",Sandy loam,"Like sunshine, resistant to half shade",Requires abundant soil moisture during the growing season,"Top-dressing after emergence, flower budding, and flowering",Remove dead and diseased branches timely,4500,2500,30000,3700,32,8,80,30,60,15,2000,350
crocosmia crocosmiiflora 'lucifer',Crocosmia crocosmiiflora 'Lucifer',crocosmia crocosmiiflora lucifer,http://pkb.resource.huahuacaocao.com/Y3JvY29zbWlhIGNyb2Nvc21paWZsb3JhICdsdWNpZmVyJy5qcGc=?imageView2/1/w/%d/h/%d,,South Africa,Northern China,"Iridaceae, Crocosmia",Flowering period June-August,Flower color orange yellow,"Diameter â¥ 10 cm, height 15-18 cm",Soil with loose texture or soil with specific nutrients,"Likes sunshine, put in sunny places, avoid strong sunlight in summer at noon","Water thoroughly after soil surface dries, avoid saturated water","Need more fertilization, dilute fertilizers following instructions, apply 2-3 times monthly","Remove aged tissues, dead and pest branches timely",6000,4000,60000,3700,35,5,80,30,60,15,2000,350
crocosmia paniculata,Crocosmia paniculata,crocosmia crocosmiiflora,http://pkb.resource.huahuacaocao.com/Y3JvY29zbWlhIHBhbmljdWxhdGEuanBn?imageView2/1/w/%d/h/%d,,China,China,"Iridaceae, Crocosmia",Flowering and fruiting periodJuly-October,Flower color orange yellow,"Diameter â¥ 20 cm, height 20-30 cm",Sandy loam,"Like sunshine, resistant to half shade",Requires abundant soil moisture during the growing season,"Top-dressing after emergence, flower budding, and flowering",Remove dead and diseased branches timely,4500,2500,30000,3700,32,8,80,30,60,15,2000,350
